[2026-04-11T02:42:56.141Z] GET http://localhost:3000/911-map → 200 (131ms, ?B)
[2026-04-11T02:42:56.292Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.293Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → pending (?ms, ?B)
[2026-04-11T02:42:56.294Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → pending (?ms, ?B)
[2026-04-11T02:42:56.296Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (48ms, 39778B)
[2026-04-11T02:42:56.296Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (51ms, 506B)
[2026-04-11T02:42:56.296Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (51ms, 206B)
[2026-04-11T02:42:56.417Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (23ms, 15433B)
[2026-04-11T02:42:56.418Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (22ms, 288B)
[2026-04-11T02:42:56.619Z] GET http://localhost:3000/api/gta-incidents?window=3 → 200 (7ms, ?B)
[2026-04-11T02:42:56.626Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (6ms, 28356B)
[2026-04-11T02:42:56.627Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (103ms, 15566B)
[2026-04-11T02:42:56.751Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (4ms, 31288B)
[2026-04-11T02:42:56.751Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (3ms, 15503B)
[2026-04-11T02:46:29.976Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (1ms, ?B)
[2026-04-11T02:46:29.976Z] GET http://localhost:3000/911-map → 200 (200ms, 37797B)
[2026-04-11T02:46:30.180Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (1ms, ?B)
[2026-04-11T02:46:30.181Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:30.181Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (2ms, 217780B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (10ms, 43704B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (11ms, 671B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (68ms, 1047866B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (19ms, 171046B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (70ms, 816039B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (24ms, 144411B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (49ms, 621043B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (39ms, 208383B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (35ms, 1979B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (36ms, 783B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (39ms, 74970B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (40ms, 126668B)
[2026-04-11T02:46:30.182Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (39ms, 262B)
[2026-04-11T02:46:30.183Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (41ms, 26946B)
